Timestamp,Temperature (C),Humidity (%),Fan On,Humidifier On
2025-02-02 00:29:17,25.4,38.9,False,False
2025-02-02 00:29:22,25.5,41.6,False,False
2025-02-02 00:29:27,25.5,44.3,False,False
2025-02-02 00:29:33,25.6,46.5,False,False
2025-02-02 00:29:38,25.7,48.8,False,False
2025-02-02 00:29:43,25.7,50.2,False,False
2025-02-02 00:29:49,25.8,51.5,False,False
2025-02-02 00:29:54,25.9,51.5,False,False
2025-02-02 00:29:59,26.0,52.9,False,False
2025-02-02 00:34:31,25.4,36.5,False,False
2025-02-02 00:34:37,25.5,36.4,False,False
2025-02-02 00:34:42,25.4,36.3,False,False
2025-02-02 00:34:47,25.4,36.2,False,False
2025-02-02 00:34:52,25.4,36.3,False,False
2025-02-02 00:34:58,25.5,36.9,False,False
2025-02-02 00:35:03,25.5,38.3,False,False
2025-02-02 00:35:08,25.6,41.2,False,False
2025-02-02 00:35:13,25.6,44.5,False,False
2025-02-02 00:35:19,25.7,46.9,False,False
2025-02-02 00:35:24,25.8,48.6,False,False
2025-02-02 00:35:29,25.8,50.2,False,False
2025-02-02 00:35:35,25.9,51.4,False,False
2025-02-02 00:35:40,26.0,52.8,False,False
2025-02-02 00:35:45,26.0,53.7,False,False
2025-02-02 00:40:31,25.4,36.5,False,False
2025-02-02 00:40:36,25.4,36.5,False,False
2025-02-02 00:40:41,25.4,36.3,False,False
2025-02-02 00:40:47,25.4,36.3,False,False
2025-02-02 00:40:52,25.4,36.3,False,False
2025-02-02 00:40:57,25.5,36.7,False,False
2025-02-02 00:41:02,25.5,38.2,False,False
2025-02-02 00:41:08,25.6,40.9,False,False
2025-02-02 00:41:13,25.6,43.5,False,False
2025-02-02 00:41:18,25.7,46.0,False,False
2025-02-02 00:41:23,25.8,48.4,False,False
2025-02-02 00:41:29,25.8,50.3,False,False
2025-02-02 00:41:34,25.9,51.5,False,False
2025-02-02 00:41:39,26.0,52.6,False,False
2025-02-02 00:51:59,25.2,36.6,False,False
2025-02-02 00:52:05,25.2,36.4,False,False
2025-02-02 00:52:10,25.2,36.4,False,False
2025-02-02 00:52:15,25.3,36.3,False,False
2025-02-02 00:52:20,25.3,36.4,False,False
2025-02-02 00:52:26,25.4,36.9,False,False
2025-02-02 00:52:31,25.4,38.4,False,False
2025-02-02 00:52:36,25.4,41.8,False,False
2025-02-02 00:52:41,25.5,44.7,False,False
2025-02-02 00:52:47,25.6,47.3,False,False
2025-02-02 00:52:52,25.6,49.1,False,False
2025-02-02 00:52:57,25.7,50.6,False,False
2025-02-02 00:53:02,25.8,51.8,False,False
2025-02-02 00:53:08,25.9,52.9,False,False
2025-02-02 00:53:13,26.0,53.4,False,False
2025-02-02 01:00:38,25.3,36.8,False,False
2025-02-02 01:00:43,25.3,36.6,False,False
2025-02-02 01:00:48,25.3,36.6,False,False
2025-02-02 01:00:54,25.3,36.5,False,False
2025-02-02 01:00:59,25.3,36.5,False,False
2025-02-02 01:01:04,25.4,37.0,False,False
2025-02-02 01:01:09,25.4,38.6,False,False
2025-02-02 01:01:15,25.5,41.0,False,False
2025-02-02 01:01:20,25.5,42.7,False,False
2025-02-02 01:01:25,25.6,45.5,False,False
2025-02-02 01:01:31,25.7,48.0,False,False
2025-02-02 01:01:36,25.7,49.8,False,False
2025-02-02 01:01:41,25.8,51.7,False,False
2025-02-02 01:01:46,25.9,53.1,False,False
2025-02-02 01:01:52,26.0,54.4,False,False
2025-02-02 01:04:18,25.9,35.7,False,False
2025-02-02 01:04:24,25.9,36.0,False,False
2025-02-02 01:04:29,25.8,35.8,False,False
2025-02-02 01:04:34,25.8,35.8,False,False
2025-02-02 01:04:47,25.9,36.3,False,False
2025-02-02 01:04:52,25.9,38.8,False,False
2025-02-02 01:04:57,26.0,41.1,False,False
2025-02-02 01:05:02,26.0,44.2,False,False
2025-02-02 01:08:02,25.7,36.2,False,False
2025-02-02 01:08:07,25.7,36.2,False,False
2025-02-02 01:08:13,25.7,36.2,False,False
2025-02-02 01:08:18,25.7,36.2,False,False
2025-02-02 01:08:23,25.7,36.2,False,False
2025-02-02 01:08:28,25.8,36.5,False,False
2025-02-02 01:08:34,25.8,38.3,False,False
2025-02-02 01:08:39,25.8,40.5,False,False
2025-02-02 01:08:44,25.9,43.2,False,False
2025-02-02 01:08:50,26.0,46.1,False,False
2025-02-02 01:08:55,26.0,48.3,False,False
2025-02-02 01:11:30,25.8,35.0,False,False
2025-02-02 01:11:35,25.8,35.2,False,False
2025-02-02 01:11:41,25.7,35.3,False,False
2025-02-02 01:11:46,25.8,35.4,False,False
2025-02-02 01:11:58,25.8,35.8,False,False
